رقم;القسم;الميزة/الخيار;التفاصيل;يظهر لـ;تم الفحص;ملاحظات/المشكلة
29;سجلات المشتركين;زر إضافة سجل;فتح نافذة إضافة سجل جديد;مدير/مدير فرع/موظف;;
30;سجلات المشتركين;جدول السجلات;عرض القائمة مع الأعمدة;مدير/مدير فرع/موظف;;
31;سجلات المشتركين;عمود اسم المشترك;عرض في الجدول;مدير/مدير فرع/موظف;;
32;سجلات المشتركين;عمود رقم الحساب;عرض في الجدول;مدير/مدير فرع/موظف;;
33;سجلات المشتركين;عمود رقم السجل;عرض في الجدول;مدير/مدير فرع/موظف;;
34;سجلات المشتركين;عمود رقم المقياس;عرض في الجدول;مدير/مدير فرع/موظف;;
35;سجلات المشتركين;عمود المنطقة;عرض في الجدول;مدير/مدير فرع/موظف;;
36;سجلات المشتركين;عمود المقاطعة;عرض في الجدول;مدير/مدير فرع/موظف;;
37;سجلات المشتركين;عمود الحالة;قيد المراجعة/مكتمل/امتناع;مدير/مدير فرع/موظف;;
38;سجلات المشتركين;عمود حالة التدقيق;مدقق/غير مدقق;مدير/مدير فرع/موظف;;
39;سجلات المشتركين;عمود صورة المقياس;حالة التدقيق أو الرابط;مدير/مدير فرع/موظف;;
40;سجلات المشتركين;عمود صورة الفاتورة;حالة التدقيق أو الرابط;مدير/مدير فرع/موظف;;
41;سجلات المشتركين;إظهار/إخفاء الفلاتر;زر الفلتر;مدير/مدير فرع/موظف;;
42;سجلات المشتركين;فلتر اسم المشترك;بحث بنص الاسم;مدير/مدير فرع/موظف;;
43;سجلات المشتركين;فلتر رقم الحساب;بحث برقم الحساب;مدير/مدير فرع/موظف;;
44;سجلات المشتركين;فلتر رقم السجل;بحث برقم السجل;مدير/مدير فرع/موظف;;
45;سجلات المشتركين;فلتر رقم المقياس;بحث برقم المقياس;مدير/مدير فرع/موظف;;
46;سجلات المشتركين;فلتر المنطقة;قائمة المناطق;مدير/مدير فرع/موظف;;
47;سجلات المشتركين;فلتر الزون;قائمة الزونات (يعتمد على المنطقة);مدير/مدير فرع/موظف;;
48;سجلات المشتركين;فلتر البلوك;قائمة البلوكات;مدير/مدير فرع/موظف;;
49;سجلات المشتركين;فلتر حالة الارض;قائمة حالات الارض;مدير/مدير فرع/موظف;;
50;سجلات المشتركين;فلتر الحالة;قيد المراجعة/مكتمل/امتناع;مدير/مدير فرع/موظف;;
51;سجلات المشتركين;فلتر التدقيق;مدقق/غير مدقق;مدير/مدير فرع/موظف;;
52;سجلات المشتركين;فلتر الصور المرفوضة;أي/لا شيء;مدير/مدير فرع/موظف;;
53;سجلات المشتركين;فلتر الصنف;منزلي/تجاري/صناعي/زراعي/حكومي;مدير/مدير فرع/موظف;;
54;سجلات المشتركين;فلتر نوع المقياس;احادي/ثلاثي/سي تي/...;مدير/مدير فرع/موظف;;
55;سجلات المشتركين;فلتر المحصل الميداني;قائمة المحصلين (حسب مدير الفرع إن وُجد);مدير/مدير فرع/موظف;;
56;سجلات المشتركين;فلتر مدير الفرع;قائمة مديري الفروع (مدير فقط);مدير;;
57;سجلات المشتركين;فلتر القطاع;قائمة القطاعات;مدير/مدير فرع/موظف;;
58;سجلات المشتركين;فلتر الوظيفة;قائمة الوظائف;مدير/مدير فرع/موظف;;
59;سجلات المشتركين;تطبيق الفلاتر;زر أو تطبيق تلقائي;مدير/مدير فرع/موظف;;
60;سجلات المشتركين;زر عرض السجل;فتح مودال عرض تفاصيل السجل;مدير/مدير فرع/موظف;;
61;سجلات المشتركين;زر تعديل السجل;قفل السجل وفتح نموذج التعديل;مدير/مدير فرع/موظف;;
62;سجلات المشتركين;زر تدقيق الصور;فتح واجهة تدقيق الصور (PhotoComparison);مدير/مدير فرع/موظف;;
63;سجلات المشتركين;زر عرض المواقع;عرض المواقع الجغرافية المسجلة;مدير/مدير فرع/موظف;;
64;سجلات المشتركين;زر حذف السجل;يظهر للمدير فقط مع تأكيد;مدير;;
65;سجلات المشتركين;قفل السجل;عند فتح التعديل يُقفل حتى الإلغاء أو الحفظ;مدير/مدير فرع/موظف;;
66;سجلات المشتركين;التنقل بين الصفحات (Pagination);تغيير الصفحة وعدد العناصر;مدير/مدير فرع/موظف;;
67;سجلات المشتركين;البقاء على نفس الصفحة بعد التعديل/التدقيق;عدم العودة لصفحة 1 بعد الحفظ;مدير/مدير فرع/موظف;;
68;عرض السجل (مودال);عرض كل بيانات السجل;اسم مشترك، حساب، سجل، مقياس، منطقة، ...;مدير/مدير فرع/موظف;;
69;عرض السجل;عرض المبالغ والموقع وحالة التدقيق;مدير/مدير فرع/موظف;;
70;عرض السجل;عرض الصور (مقياس، فاتورة وجه، ظهر);مدير/مدير فرع/موظف;;
71;عرض السجل;تغيير حالة التدقيق من نافذة العرض;مدقق/غير مدقق;مدير/مدير فرع/موظف;;
72;عرض السجل;تصدير/طباعة تقرير السجل;زر طباعة أو PDF;مدير/مدير فرع/موظف;;
73;تعديل السجل (مودال);تعديل اسم المشترك ورقم الحساب ورقم السجل;مدير/مدير فرع/موظف;;
74;تعديل السجل;تعديل رقم المقياس، المنطقة، المقاطعة، آخر قراءة;مدير/مدير فرع/موظف;;
75;تعديل السجل;تعديل المبالغ (المجموع المطلوب، المستلم);مدير/مدير فرع/موظف;;
76;تعديل السجل;تعديل الصنف، نوع المقياس، معامل الضرب، حالة الارض;مدير/مدير فرع/موظف;;
77;تعديل السجل;تعديل الصور (مقياس، فاتورة وجه، ظهر);مدير/مدير فرع/موظف;;
78;تعديل السجل;تعديل الحالة (قيد المراجعة/مكتمل/امتناع);مدير/مدير فرع/موظف;;
79;تعديل السجل;تعديل حالة التدقيق;مدقق/غير مدقق;مدير/مدير فرع/موظف;;
80;تعديل السجل;حفظ التعديلات وإلغاء القفل;مدير/مدير فرع/موظف;;
81;تعديل السجل;إلغاء التعديل وإلغاء القفل;مدير/مدير فرع/موظف;;
82;تدقيق الصور (PhotoComparison);فتح واجهة التدقيق من زر في السجل;مدير/مدير فرع/موظف;;
83;تدقيق الصور;عرض صورة المقياس والتحقق منها;مدير/مدير فرع/موظف;;
84;تدقيق الصور;عرض صورة الفاتورة (وجه وظهر);مدير/مدير فرع/موظف;;
85;تدقيق الصور;عرض الصور الإضافية (record_photos);مدير/مدير فرع/موظف;;
86;تدقيق الصور;وضع علامة مدقق/غير مدقق على كل صورة;مدير/مدير فرع/موظف;;
87;تدقيق الصور;رفض الصورة;زر رفض;مدير/مدير فرع/موظف;;
88;تدقيق الصور;حساب حالة السجل (مدقق عند اكتمال تدقيق الكل);مدير/مدير فرع/موظف;;
89;تدقيق الصور;زر حفظ;حفظ حالة التدقيق وتسجيل إنجاز التدقيق;مدير/مدير فرع/موظف;;
90;تدقيق الصور;إغلاق واجهة التدقيق;مدير/مدير فرع/موظف;;
91;إضافة سجل (نافذة);فتح نافذة إضافة سجل من الداشبورد;مدير/مدير فرع/موظف;;
92;إضافة سجل;ملء بيانات السجل (اسم، حساب، مقياس، منطقة، ...);مدير/مدير فرع/موظف;;
93;إضافة سجل;رفع صور (مقياس، فاتورة وجه، ظهر);مدير/مدير فرع/موظف;;
94;إضافة سجل;إدخال المبالغ والصنف ونوع المقياس;مدير/مدير فرع/موظف;;
95;إضافة سجل;التحقق من عدم تكرار رقم الحساب;مدير/مدير فرع/موظف;;
96;إضافة سجل;زر حفظ وإنشاء السجل;مدير/مدير فرع/موظف;;
97;إضافة سجل;خيار تعديل سجل موجود (عند تكرار رقم حساب);مدير/مدير فرع/موظف;;
98;إدارة المستخدمين;عرض قائمة المستخدمين;جدول المستخدمين;مدير;;
99;إدارة المستخدمين;فلتر حسب الدور;مدير/موظف/مدير فرع/محصل;مدير;;
100;إدارة المستخدمين;فلتر حسب القطاع والوظيفة;مدير;;
101;إدارة المستخدمين;إضافة مستخدم جديد;نموذج إضافة مع اسم، اسم مستخدم، كلمة مرور، دور، قطاع، وظيفة;مدير;;
102;إدارة المستخدمين;عرض تفاصيل مستخدم;مودال عرض;مدير;;
103;إدارة المستخدمين;تعديل مستخدم;تعديل البيانات (الموظف يعدل نفسه بشكل محدود);مدير;;
104;إدارة المستخدمين;تعطيل/تفعيل مستخدم;مدير;;
105;إدارة المستخدمين;إدارة التابعين (مدير فرع);تعيين محصلين وموظفين تابعين لمدير الفرع;مدير;;
106;إدارة المستخدمين;منع حذف أو تعطيل آخر مدير;مدير;;
107;التقارير;نوع التقرير;سجلات المشتركين أو تقرير الإرسالية;مدير/مدير فرع/موظف;;
108;التقارير;فلاتر التقرير;من تاريخ، إلى تاريخ، مدير فرع، محصل، منطقة، زون، بلوك، رقم سجل، صنف، حالة الارض، ...;مدير/مدير فرع/موظف;;
109;التقارير;إظهار الفلاتر/إخفاؤها;مدير/مدير فرع/موظف;;
110;التقارير;معاينة التقرير;عرض عينة قبل التحميل;مدير/مدير فرع/موظف;;
111;التقارير;تحميل التقرير;تنزيل ملف HTML بالتقرير;مدير/مدير فرع/موظف;;
112;التقارير;ترتيب السجلات حسب المبلغ المستلم (أعلى لأقل);في التقرير والمعاينة;مدير/مدير فرع/موظف;;
113;التقارير;عرض تاريخ التصدير في التقرير;تاريخ ووقت التصدير داخل الملف;مدير/مدير فرع/موظف;;
114;التقارير;تقرير الإرسالية;فقط سجلات لها مبلغ مستلم > 0;مدير/مدير فرع/موظف;;
115;التقارير;تقرير سجلات المشتركين;كل السجلات المفلترة مع خيار تضمين أرقام الصور;مدير/مدير فرع/موظف;;
116;القطاعات;عرض إنجازات القطاعات;بطاقات حسب القطاع;مدير;;
117;القطاعات;ترتيب حسب نسبة الإنجاز;من الأعلى/من الأقل;مدير;;
118;القطاعات;عرض عدد الموظفين والإنجازات لكل قطاع;مدير;;
119;الانجازات;جدول الانجازات;مستخدم، وظيفة، قطاع، سجلات ميدانية، من الداشبورد، مكتملة، امتناع، تحديثات، تدقيق، الإجمالي، آخر نشاط;مدير;;
120;الانجازات;فلتر حسب الوظيفة;مدير;;
121;الانجازات;فلتر حسب القطاع;مدير;;
122;الانجازات;ترقيم الصفحات وتغيير عدد العناصر;مدير;;
123;الحركات;سجل الحركات (Activity Logs);قائمة الحركات مع المستخدم والإجراء والوقت;مدير;;
124;الحركات;عرض تفاصيل حركة;مودال;مدير;;
125;الحركات;الترقيم وتغيير عدد العناصر;مدير;;
126;النسخ الاحتياطي;عرض إحصائيات النظام;عدد المستخدمين، السجلات، الصور، الحركات;مدير;;
127;النسخ الاحتياطي;إنشاء نسخة احتياطية;تحميل ملف النسخة;مدير;;
128;النسخ الاحتياطي;استعادة من نسخة;رفع ملف واستعادة البيانات;مدير;;
129;النسخ الاحتياطي;عرض تاريخ آخر نسخة;مدير;;
130;تطبيق المحصل الميداني;الدخول بتسجيل محصل ميداني;بعد الدخول يظهر تطبيق المحصل وليس لوحة التحكم;محصل ميداني;;
131;تطبيق المحصل;الهيدر;عنوان التطبيق، مرحباً، إشعارات، ثيم، خروج;محصل ميداني;;
132;تطبيق المحصل;البحث عن سجل;رقم حساب أو رقم سجل أو اسم مشترك;محصل ميداني;;
133;تطبيق المحصل;عرض نتائج البحث;قائمة السجلات المطابقة;محصل ميداني;;
134;تطبيق المحصل;النقر على سجل من النتائج;فتح بوب أب: تحديث أو تعديل;محصل ميداني;;
135;تطبيق المحصل;خيار تحديث (إضافة صور وموقع);متابعة السيناريو: موقع، صور، إرسال;محصل ميداني;;
136;تطبيق المحصل;خيار تعديل (تغيير بيانات السجل);فتح مودال تعديل كامل مع أحدث بيانات السجل;محصل ميداني;;
137;تطبيق المحصل;مودال تعديل: تعديل كل الحقول والصور والمبالغ;محصل ميداني;;
138;تطبيق المحصل;تحديد الموقع الحالي;زر تحديد الموقع (GPS);محصل ميداني;;
139;تطبيق المحصل;صورة المقياس;اختيارية (إلا في الامتناع);محصل ميداني;;
140;تطبيق المحصل;صورة الفاتورة (وجه);إجبارية;محصل ميداني;;
141;تطبيق المحصل;صورة الفاتورة (ظهر);اختيارية;محصل ميداني;;
142;تطبيق المحصل;المجموع المطلوب والمبلغ المستلم;إدخال المبالغ;محصل ميداني;;
143;تطبيق المحصل;نوع الصنف;منزلي/تجاري/صناعي/زراعي/حكومي;محصل ميداني;;
144;تطبيق المحصل;الملاحظات وتاغات المشاكل;محصل ميداني;;
145;تطبيق المحصل;زر امتناع;تسجيل حالة امتناع (صورة المقياس غير مطلوبة);محصل ميداني;;
146;تطبيق المحصل;زر إرسال البيانات;إنشاء سجل جديد أو إضافة صور لسجل موجود;محصل ميداني;;
147;تطبيق المحصل;ملاحظات الصور الإضافية;عند إضافة صور لسجل موجود;محصل ميداني;;
148;الإشعارات;فتح قائمة الإشعارات بالنقر على الجرس;مدير/مدير فرع/موظف/محصل;;
149;الإشعارات;عرض عدد الإشعارات غير المقروءة (شارة);مدير/مدير فرع/موظف/محصل;;
150;الإشعارات;اختفاء العدد بعد فتح القائمة (اعتبارها مقروءة);مدير/مدير فرع/موظف/محصل;;
151;الإشعارات;إغلاق إشعار واحد من القائمة;مدير/مدير فرع/موظف/محصل;;
152;الصلاحيات;مدير الفرع يرى فقط سجلات محصليه;فلترة تلقائية;مدير فرع;;
153;الصلاحيات;مدير الفرع لا يرى تبويب المستخدمين والحركات والنسخ والانجازات والقطاعات;مدير فرع;;
154;الصلاحيات;الموظف لا يرى تبويب المستخدمين والحركات;موظف;;
155;الصلاحيات;المحصل يرى تطبيق المحصل فقط;محصل ميداني;;
156;الوضع الليلي/النهاري;يعمل في كل الواجهات;تسجيل الدخول، لوحة التحكم، تطبيق المحصل;الكل;;
157;سريان الجلسة;تسجيل الخروج ينهي الجلسة;الكل;;
158;الطباعة/التصدير;تصدير تقرير سجل واحد من عرض السجل;مدير/مدير فرع/موظف;;
159;الطباعة/التصدير;تصدير تقرير الإرسالية أو سجلات المشتركين مع تاريخ التصدير;مدير/مدير فرع/موظف;;
160;التحديثات المباشرة;ظهور مؤشر أخضر عند تفعيل Realtime;مدير/مدير فرع/موظف;;
161;التحديثات المباشرة;تحديث القائمة عند إضافة سجل جديد من محصل آخر;مدير/مدير فرع/موظف;;
162;قفل السجل;رسالة عند محاولة تعديل سجل مقفل من مستخدم آخر;مدير/مدير فرع/موظف;;
163;تسجيل الإنجاز;عند تدقيق سجل يظهر في عمود التدقيق بالانجازات;مدير (عرض الانجازات);;
164;التذييل;عرض نسخة النظام وحقوق النشر;الكل;;
